id,word
1,優れる
2,良い
3,喜ぶ
4,褒める
5,めでたい
6,賢い
7,善い
8,適す
9,天晴
10,祝う
11,功績
12,賞
13,嬉しい
14,喜び
15,才知
16,徳
17,才能
18,素晴らしい
19,芳しい
20,称え
